iso3_r250_label,Year,n_TotalRetention(kg),n_EstimatedRetention(kg),n_Price(usd),n_ServiceValue(usd),p_TotalRetention(kg),p_EstimatedRetention(kg),p_Price(usd),p_ServiceValue(usd),DomesticWaterUseFraction
DMA,2019,511000.5520682027,117764.20115187266,3.2918129,387657.7165099293,753431.3252947927,173634.32933100947,11.486368,1994427.8041291686,0.23045807029999998
TLS,2019,36378158.905851394,8383640.302509271,0.54187429,4542879.136537596,21641695.875219673,4987503.469422595,1.8908023,9430383.031242222,0.23045807029999998
SJM,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
IOT,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
TTO,2019,8145304.074923769,1877151.0591136583,5.9978876,11258941.060784679,5002504.066844523,1152867.433912891,20.928875,24128218.415933657,0.23045807029999998
HMD,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
SAU,2019,4504127219.931972,578957468.9608804,10.254637,5936998682.632596,276012567.8226272,35478468.93862716,35.782265,1269499977.356226,0.1285393242
HUN,2019,703598678.5350567,97027192.43046889,5.9005647,572515226.5953319,277126492.4564209,38216111.44457302,20.589279,786842180.827407,0.1379013284
MMR,2019,1894489274.8712046,188533210.95914218,0.49457544,93243895.76473056,883479639.2707303,87920926.98442921,1.7257589,151730322.23962888,0.09951664201
CPV,2019,NA,NA,1.5193841,NA,NA,NA,5.3017001,NA,0.23045807029999998
CHN,2019,33582164636.48194,5627427302.158911,3.5872245,20186845090.273346,11755888239.059418,1969956587.186282,12.51717,24658281494.43051,0.167571905
GBR,2019,885338.4058597658,204033.38057691982,14.842225,3028309.3420332735,247386.03763848916,57012.10885332937,51.790081,2952661.7354947454,0.23045807029999998
CHL,2019,1700870011.4881897,67335338.1797954,5.027545,338531442.78913945,419143067.6338146,16593355.173653571,17.542988,291097030.69114256,0.03958876206
WLF,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
