iso_code,country,year,wue_industrial_usdpm3,wue_irrigation_usdpm3,wue_municipal_usdpm3,wue_general_usdpm3,w_agriculture,w_industry,w_munucipal,gep_water_agricultural,gep_water_industrial,gep_water_municipal
CZE,Czechia,2015,59.913518824,1.205082263,177.976443606,103.270076697,4.4e+07,,,53023619.572,,
DEU,Germany,2000,21.693617846,,158.643393478,,1.14e+09,3.26e+10,5.409e+09,,707211941779.6,858102115322.502
DEU,Germany,2005,,,,,131700000,,,,,
DEU,Germany,2010,26.767453574,1.9310537,182.137496035,70.204164035,210900000,,,407259225.33,,
DEU,Germany,2015,45.489222425,1.553093035,202.657457342,100.471618213,,,,,,
DJI,Djibouti,2000,,8.211726979,37.439200366,,3e+06,0,1.6e+07,24635180.937,,599027205.856
DJI,Djibouti,2010,,12.485923847,70.802894641,,,,,,,
DJI,Djibouti,2015,,9.471449333,129.369077438,,,,,,,
DMA,Dominica,2010,,0.003653019,18.34363579,,1e+06,0,1.9e+07,3653.019,,348529080.01
DMA,Dominica,2015,,0.004459109,17.864132526,,,,,,,
DNK,Denmark,2000,632.750419769,,355.651734524,,165200000,61900000,440800000,,39167250983.7011,156771284578.179
DNK,Denmark,2005,,,,,117500000,42300000,4.11e+08,,,
DNK,Denmark,2010,749.115581125,3.00820724,467.47821364,337.279169527,1.64e+08,1.28e+08,3.6e+08,493345987.36,95886794384,168292156910.4
DNK,Denmark,2015,1548.700532751,0.777266501,528.383396059,320.348641671,,,,,,
DOM,Dominican Republic,2000,158.049364238,0.172367982,31.376205412,6.130087862,4.2e+09,6.5e+07,6e+08,723945524.4,10273208675.47,18825723247.2
DOM,Dominican Republic,2005,,,,,4.487e+09,2.59e+08,7.24e+08,,,
DOM,Dominican Republic,2010,24.617398121,0.193133264,40.202618598,6.973559363,5.715e+09,5.86e+08,8.55e+08,1103756603.76,14425795298.906,34373238901.29
DOM,Dominican Republic,2015,28.570693231,0.161608163,50.816413803,6.997662102,,,,,,
DZA,Algeria,2000,103.228895303,0.269721003,19.219906411,15.153172896,3.502e+09,5e+08,1.721e+09,944562952.506,51614447651.5,33077458933.331
DZA,Algeria,2010,163.17080544,0.560477165,20.148862264,16.242201179,4.99e+09,4.15e+08,3.02e+09,2796781053.35,67715884257.6,60849564037.28
DZA,Algeria,2015,473.475364656,0.836578187,26.472775216,15.372739172,,,,,,
ECU,Ecuador,2000,45.184730255,0.343864452,27.227308273,4.79111322,8.076e+09,385200000,907300000,2777049314.352,17405158094.226,24703336796.0929
ECU,Ecuador,2005,,,,,8.076e+09,5.49e+08,1.293e+09,,,
ECU,Ecuador,2010,48.968166014,0.486163584,32.283369677,7.315202383,,,,,,
ECU,Ecuador,2015,54.894868852,0.670587465,40.616754834,8.879855956,,,,,,
EGY,Egypt,2000,12.687867113,0.378834834,16.673206782,2.364139379,5.9e+10,4e+09,5.3e+09,22351255206,50751468452,88367995944.6
EGY,Egypt,2010,47.581015263,0.554057863,14.784266902,3.401824481,6.7e+10,2e+09,9e+09,37121876821,95162030526,133058402118
EGY,Egypt,2015,91.201233868,0.580668387,16.995240173,4.351108124,,,,,,
ERI,Eritrea,2000,5.690823643,0.023821287,16.486557612,3.326687462,2.9e+08,61700000,61700000,6908173.23,351123818.7731,1017220604.6604
ERI,Eritrea,2005,,,,,5.5e+08,1e+06,3.1e+07,,,
ERI,Eritrea,2010,475.247628949,0.016040573,27.194644458,2.280247289,,,,,,
ERI,Eritrea,2015,602.738691,0.018189506,35.179915194,2.926667166,,,,,,
ESP,Spain,2000,34.472080954,0.439712299,106.292597596,23.44234825,2.304e+10,7.447e+09,5.448e+09,10130971368.96,256713586864.438,579082071703.008
ESP,Spain,2005,,,,,2.318e+10,6.495e+09,5.898e+09,,,
ESP,Spain,2010,34.78290798,0.344154048,164.998474149,30.612436634,2.547e+10,6.572e+09,5.308e+09,8765603602.56,228593271244.56,875811900782.892
ESP,Spain,2015,32.897553703,0.444376417,180.315285783,33.707585211,,,,,,
EST,Estonia,2000,2.223134352,0.037252278,103.847851768,7.992135563,3e+07,,85200000,1117568.34,,8847836970.6336
EST,Estonia,2005,,,,,7600000,,,,,
EST,Estonia,2010,2.191118373,0.131463086,204.522497734,8.886324298,4500000,,,591583.887,,
EST,Estonia,2015,3.081845813,0.480809278,248.929372624,12.144580705,5e+06,1.655e+09,6e+07,2404046.39,5100454820.515,14935762357.44
ETH,Ethiopia,2000,,,,,5.204e+09,2.1e+07,3.33e+08,,,
ETH,Ethiopia,2005,,,,,7e+09,51100000,8.1e+08,,,
ETH,Ethiopia,2010,63.07168405,0.103652438,19.982857021,2.230809,,,,,,
ETH,Ethiopia,2015,193.491741233,0.127575532,32.153516074,3.60414009,9.687e+09,,,1235824178.484,,
FIN,Finland,2000,30.802372486,,265.896625185,,5e+07,,4.04e+08,,,107422236574.74
FIN,Finland,2005,,,,,5e+07,,409400000,,,
FIN,Finland,2010,31.793579886,0.317784395,360.271215719,86.126390979,,,4e+08,,,144108486287.6
FIN,Finland,2015,30.208899549,0.090647204,372.241628242,83.297770346,,,4.15e+08,,,154480275720.43
FJI,Fiji,2000,61.690252597,,100.317659116,,5e+07,8800000,22900000,,542874222.8536,2297274393.7564
FJI,Fiji,2005,,,,,5e+07,9600000,25300000,,,
FJI,Fiji,2010,65.646200652,0.273231282,98.559465596,36.95429411,,,,,,
FJI,Fiji,2015,66.235679583,0.284159047,105.54953751,39.110409604,,,,,,
FRA,France,2000,17.66065481,,239.120015284,,4.291e+09,2.211e+10,5.966e+09,,390477077849.1,1426590011184.34
FRA,France,2005,,,,,3.933e+09,2.179e+10,5.683e+09,,,
FRA,France,2010,18.461321464,1.679173388,298.102390382,71.917601782,3.143e+09,2.161e+10,5.481e+09,5277641958.484,398949156837.04,1633899201683.74
FRA,France,2015,19.109107362,1.478002315,338.708271255,76.385409053,,,,,,
GAB,Gabon,2000,473.28062071,0.166770446,46.913462993,71.657385589,40300000,11400000,68600000,6720848.9738,5395399076.094,3218263561.3198
GAB,Gabon,2005,,,,,40300000,14100000,84700000,,,
GAB,Gabon,2010,429.545611563,0.140505662,45.206521041,71.108898874,,,,,,
GAB,Gabon,2015,479.490495461,0.199721427,70.138719126,91.370339824,,,,,,
GBR,United Kingdom,2000,,,,,1.308e+09,7.19e+09,7.312e+09,,,
GBR,United Kingdom,2005,,,,,1.33e+09,1.193e+09,5.99e+09,,,
GBR,United Kingdom,2010,,,,,1.049e+09,,5.866e+09,,,
GBR,United Kingdom of Great Britain and Northern Ireland,2000,65.286864302,,221.79239023,,,,,,,
GBR,United Kingdom of Great Britain and Northern Ireland,2010,481.939184732,0.257748211,327.922493504,296.551174993,,,,,,
GBR,United Kingdom of Great Britain and Northern Ireland,2015,479.959876749,0.548471129,360.419728269,318.641496345,,,,,,
GEO,Georgia,2000,4.496041771,0.249666122,11.917018684,2.728935423,,195200000,3.36e+08,,877627353.6992,4004118277.824
GEO,Georgia,2005,,,,,1.055e+09,4e+08,3.58e+08,,,
GEO,Georgia,2010,4.522131898,0.291681936,15.433277036,5.468555693,,,,,,
GEO,Georgia,2015,11.030943497,0.400169037,11.118683535,7.633860035,,,,,,
GHA,Ghana,2000,66.832782688,0.065615425,33.801456313,14.59800188,6.52e+08,9.5e+07,2.35e+08,42781257.1,6349114355.36,7943342233.555
GHA,Ghana,2010,88.179581538,0.147753084,60.089098577,18.538858888,,,2.55e+08,,,15322720137.135
GHA,Ghana,2015,150.734876137,0.140307061,71.835119629,25.018215893,,,2.51e+08,,,18030615026.879
GIN,Guinea,2000,30.196138207,0.190064037,11.201823848,6.85882084,292900000,52100000,208300000,55669756.4373,1573218800.5847,2333339907.5384
GIN,Guinea,2005,,,,,,56200000,224800000,,,
GIN,Guinea,2010,38.098063219,0.029072768,14.073260785,7.30035166,,,,,,
GIN,Guinea,2015,38.205538912,0.030826773,18.403665975,7.780002305,,,,,,
GMB,Gambia,2000,6.79789644,0.102067936,18.39678784,8.242381977,39200000,17400000,33900000,4001063.0912,118283398.056,623651107.776
GMB,Gambia,2005,,,,,,21200000,41200000,,,
GMB,Gambia,2010,5.219216223,0.177955107,16.664849727,7.915502292,,,,,,
GMB,Gambia,2015,9.993771038,0.114592812,17.949826311,9.408393978,,,,,,
GNB,Guinea-Bissau,2000,12.141711692,0.074527052,12.544633349,2.265098035,1.44e+08,8e+06,2.3e+07,10731895.488,97133693.536,288526567.027
GNB,Guinea-Bissau,2005,,,,,,11900000,34100000,,,
GNB,Guinea-Bissau,2010,9.42665286,0.101454146,10.431413566,2.539461941,,,,,,
GNB,Guinea-Bissau,2015,10.252748403,0.123749969,11.375592669,2.777554798,,,,,,
GNQ,Equatorial Guinea,2000,846.864019716,,52.634943762,,1e+06,2600000,13800000,,2201846451.2616,726362223.9156
GNQ,Equatorial Guinea,2005,,,,,,3e+06,15800000,,,
GNQ,Equatorial Guinea,2010,3238.782773367,,206.761169042,,,,,,,
GNQ,Equatorial Guinea,2015,2563.525217333,,332.329015316,,,,,,,
GRC,Greece,2000,138.933310289,0.52379149,157.860576249,17.08710377,8.42e+09,,,4410324345.8,,
GRC,Greece,2005,,,,,8.458e+09,325500000,846200000,,,
GRC,Greece,2010,167.648555234,0.34825317,147.979861424,21.395623885,7.918e+09,,1.293e+09,2757468600.06,,191337960821.232
GRC,Greece,2015,167.08686923,0.423098273,96.210543478,17.03442402,,,,,,
GRD,Grenada,2010,,1.425137761,,,,,,,,
GRD,Grenada,2015,,2.762849815,58.203081,,2100000,0,1.2e+07,5801984.6115,,698436972
GTM,Guatemala,2000,17.251970039,,50.959901956,,1.472e+09,,429800000,,,21902565860.6888
GTM,Guatemala,2005,,,,,1.886e+09,603100000,8.35e+08,,,
GTM,Guatemala,2010,16.893792343,0.728371154,39.128521334,13.307261957,,,,,,
GTM,Guatemala,2015,21.001059441,0.815319385,47.528797119,16.211900034,,,,,,
GUY,Guyana,2000,49.443225441,,21.88688462,,1.6e+09,1e+07,3e+07,,494432254.41,656606538.6
GUY,Guyana,2005,,,,,,20400000,61300000,,,
GUY,Guyana,2010,42.542160417,0.413056876,25.326421309,2.06504203,1.363e+09,20400000,61300000,562996521.988,867860072.5068,1552509626.2417
GUY,Guyana,2015,47.880904902,0.098134297,32.117011958,2.13144621,,,,,,
HND,Honduras,2000,30.493894449,,25.518345592,,,,,,,
HND,Honduras,2005,,,,,1.178e+09,1.14e+08,3.15e+08,,,
HND,Honduras,2010,36.363211776,0.17120815,35.12257356,9.58973243,,,,,,
HND,Honduras,2015,42.703108675,0.214607331,40.813368222,11.1867908,,,,,,
HRV,Croatia,2000,,,43.323326683,,5900000,62800000,,,,
HRV,Croatia,2005,,,,,3200000,,,,,
HRV,Croatia,2010,18.109987419,0.626811989,62.040670079,37.346115906,8600000,147700000,5.13e+08,5390583.1054,2674845141.7863,31826863750.527
