city,country_iso,iso3_r250_id,year,month,kwh_diff,price_usd_per_kwh,total_savings_usd
22_9749,ITA,380.0,2019,7,2173.5518740805333,0.168,365.1567148455296
22_9749,ITA,380.0,2019,8,1976.524285985856,0.168,332.05608004562384
22_9750,ITA,380.0,2019,6,33230.63053188542,0.168,5582.745929356751
22_9750,ITA,380.0,2019,7,17218.25400819445,0.168,2892.666673376668
22_9750,ITA,380.0,2019,8,11121.669763602627,0.168,1868.4405202852413
22_9750,ITA,380.0,2019,9,8123.096656821153,0.168,1364.6802383459535
22_9751,ITA,380.0,2019,5,50496.06383544163,0.168,8483.338724354195
22_9751,ITA,380.0,2019,6,29154.21574033466,0.168,4897.908244376224
22_9751,ITA,380.0,2019,7,31949.630309188906,0.168,5367.537891943736
22_9751,ITA,380.0,2019,8,58231.35152616784,0.168,9782.8670563962
22_9751,ITA,380.0,2019,9,13371.9814745709,0.168,2246.492887727912
22_9751,ITA,380.0,2019,10,16913.573494320593,0.168,2841.48034704586
22_9752,ITA,380.0,2019,6,40345.28399337064,0.168,6778.007710886267
22_9752,ITA,380.0,2019,7,29986.87097053805,0.168,5037.794323050392
22_9752,ITA,380.0,2019,8,5991.663620334979,0.168,1006.5994882162764
22_9752,ITA,380.0,2019,9,8558.352354218237,0.168,1437.803195508664
22_9752,ITA,380.0,2019,10,19687.16358041193,0.168,3307.443481509204
22_9753,ITA,380.0,2019,5,10551.13233360734,0.168,1772.5902320460332
22_9753,ITA,380.0,2019,6,25489.61646758308,0.168,4282.255566553958
22_9753,ITA,380.0,2019,7,18515.53854520489,0.168,3110.6104755944216
22_9753,ITA,380.0,2019,8,7058.428696475909,0.168,1185.816021007953
22_9753,ITA,380.0,2019,9,10476.56689915872,0.168,1760.0632390586652
22_9753,ITA,380.0,2019,10,1624.718432953597,0.168,272.9526967362043
22_9755,ITA,380.0,2019,6,27304.6648562666,0.168,4587.183695852789
22_9755,ITA,380.0,2019,7,25503.523779249583,0.168,4284.59199491393
22_9755,ITA,380.0,2019,8,17594.429293116253,0.168,2955.8641212435305
22_9755,ITA,380.0,2019,9,6788.582652588479,0.168,1140.4818856348645
22_9755,ITA,380.0,2019,10,2513.6819840992166,0.168,422.2985733286684
22_9757,ITA,380.0,2019,6,12963.316678157098,0.168,2177.8372019303924
22_9757,ITA,380.0,2019,7,6645.626561012088,0.168,1116.465262250031
22_9757,ITA,380.0,2019,8,9522.748822699908,0.168,1599.8218022135848
22_9757,ITA,380.0,2019,9,9348.465563120188,0.168,1570.5422146041917
22_9757,ITA,380.0,2019,10,2029.9250359393357,0.168,341.0274060378084
22_9758,ITA,380.0,2019,6,16076.31384312096,0.168,2700.8207256443216
22_9758,ITA,380.0,2019,7,25718.69677941405,0.168,4320.741058941561
22_9758,ITA,380.0,2019,8,13777.856843374308,0.168,2314.679949686884
22_9758,ITA,380.0,2019,9,10612.200241487471,0.168,1782.8496405698952
22_9758,ITA,380.0,2019,10,24472.58079295704,0.168,4111.393573216783
22_9759,ITA,380.0,2019,5,14104.78602972228,0.168,2369.604052993343
22_9759,ITA,380.0,2019,6,5046.551675373036,0.168,847.8206814626701
22_9759,ITA,380.0,2019,7,9046.966978965293,0.168,1519.890452466169
22_9759,ITA,380.0,2019,8,6964.408041378557,0.168,1170.0205509515977
22_9759,ITA,380.0,2019,9,10357.038708211752,0.168,1739.9825029795743
22_9759,ITA,380.0,2019,10,7224.338632633013,0.168,1213.6888902823462
22_9760,ITA,380.0,2019,6,25025.82045880144,0.168,4204.337837078642
22_9760,ITA,380.0,2019,7,16540.51030092432,0.168,2778.805730555286
22_9760,ITA,380.0,2019,8,19676.29874467448,0.168,3305.6181891053125
22_9760,ITA,380.0,2019,9,8445.71283578265,0.168,1418.8797564114852
22_9761,ITA,380.0,2019,6,3543.88127947394,0.168,595.3720549516219
22_9761,ITA,380.0,2019,7,11559.75963538996,0.168,1942.0396187455133
22_9761,ITA,380.0,2019,8,1050.9064717033486,0.168,176.5522872461626
22_9761,ITA,380.0,2019,9,2590.271741262324,0.168,435.1656525320705
22_9761,ITA,380.0,2019,10,586.3250493147497,0.168,98.50260828487797
22_9762,ITA,380.0,2019,5,16901.067324195254,0.168,2839.379310464803
22_9762,ITA,380.0,2019,6,23541.787236661778,0.168,3955.020255759179
22_9762,ITA,380.0,2019,7,13717.67179337516,0.168,2304.568861287027
22_9762,ITA,380.0,2019,8,2072.1653041715117,0.168,348.12377110081394
22_9762,ITA,380.0,2019,9,2934.2778993551897,0.168,492.9586870916719
22_9762,ITA,380.0,2019,10,2127.1112062714783,0.168,357.3546826536084
22_9765,ITA,380.0,2019,6,29068.361211432213,0.168,4883.484683520612
22_9765,ITA,380.0,2019,7,48106.225951027845,0.168,8081.845959772679
22_9765,ITA,380.0,2019,8,22447.180933086624,0.168,3771.126396758553
22_9765,ITA,380.0,2019,9,12945.492760440007,0.168,2174.842783753921
22_9766,ITA,380.0,2019,6,14388.34459426346,0.168,2417.2418918362614
22_9766,ITA,380.0,2019,7,12912.504732409205,0.168,2169.3007950447463
22_9766,ITA,380.0,2019,8,13658.773170295484,0.168,2294.6738926096414
22_9766,ITA,380.0,2019,9,4762.973269870355,0.168,800.1795093382196
22_9766,ITA,380.0,2019,10,2022.386425204055,0.168,339.7609194342813
